TRANSPORTISTA,CD,FECHA,SEMANA,MES ,PLACAS,FUENTE,REPORTE,SISTEMA,ESTADO,CRITICIDAD,FECHA SOLUCIÓN,DÍAS DE CIERRE,DÍAS PARA CIERRE,CUMPLIMIENTO MTTO COR,META,META RT,PORCENTAJE DE RESPUESTA TALLER,OBSERVACIONES,EVIDENCIAS ANTES,EVIDENCIAS DESPUES
Surticerveza Pacheco SAS,Galapa,21/3/2026,12,Marzo,COPSX403,Checklist T2,Peldaños traseros dañados y cauchos afuera del riel y carpa rota,CARPAS/ESTERAS,Cerrado,2,3/22/2026,1.00,14,100%,80%,50%,93%,,,
Surticerveza Pacheco SAS,Galapa,21/3/2026,12,Marzo,COLCM493,Checklist T2,No tiene llanta de repuesto Panorámico picado partido Retrovisor izquierdo partido Embrague largo y molesta,LLANTAS,Cerrado,3,3/22/2026,1.00,29,100%,80%,50%,97%,,,
Logisticos,Galapa,21/3/2026,12,Marzo,COVEL944,Checklist T2,vehículo sin luz y la luna derecha está floja ojo,LUCES,Cerrado,1,3/22/2026,1.00,0,100%,80%,50%,100%,,,
Logisticos,Galapa,21/3/2026,12,Marzo,COVCM617,Checklist T2,"Estribo partido lado del auxiliar, frenos largos defensa toda partida, ruido en la dirección",FRENOS,Cerrado,1,3/23/2026,2.00,-1,0%,80%,50%,0%,,,
Logisticos,Galapa,21/3/2026,12,Marzo,COVEN060,Checklist T2,"Silla del auxiliar mal ubicada,carpa y retrovisores en mal estado",CARPAS/ESTERAS,Cerrado,2,3/24/2026,3.00,12,100%,80%,50%,80%,,,
Logisticos,Galapa,17/3/2026,12,Marzo,COVEL156,Checklist T2,Ojo al frenos,FRENOS,Cerrado,1,3/20/2026,3.00,-2,0%,80%,50%,0%,,,
Logisticos,Galapa,21/3/2026,12,Marzo,COVEL944,Checklist T2,No tiene luces.... Urgente,ELÉCTRICO,Cerrado,1,3/22/2026,1.00,0,100%,80%,50%,100%,,,
Logisticos,Galapa,23/3/2026,13,Marzo,COVEL186,Checklist T2,Fuga aire.bita la Reversa carpa derecha en mal estado,CARPAS/ESTERAS,Cerrado,2,3/26/2026,3.00,12,100%,80%,50%,80%,,,
Logisticos,Galapa,23/3/2026,13,Marzo,COVEL588,Checklist T2,Carro sin la perilla para subir el vidrio del lado del conductor REPARAR POR SEGURIDAD. DEFENSAS TRASERA Y DELANTERA GOLPEADAS Y ROTAS RETROVISOR del lado del conductor en mal estado REPARAR.,GOLPES Y RAYONES,Cerrado,3,3/25/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,23/4/2026,17,Abril,COKSP233,Checklist T2,Ojo los vidrios no le suben y ya se metieron las lluvias,CABINA,Cerrado,2,4/25/2026,2.00,13,100%,80%,50%,87%,,,
Logisticos,Galapa,23/3/2026,13,Marzo,COLCM500,Checklist T2,Defensa trasera se esta callendo,GOLPES Y RAYONES,Cerrado,3,3/25/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEL589,Checklist T2,Ojo mofle roto,MOFLE,Cerrado,1,3/23/2026,3.00,-2,0%,80%,50%,0%,,,
Logisticos,Galapa,23/3/2026,13,Marzo,COVEL587,Checklist T2,Carpa en mal estado,CARPAS/ESTERAS,Cerrado,2,3/24/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,23/3/2026,13,Marzo,COVEL558,Checklist T2,Carpa en mal estado,CARPAS/ESTERAS,Cerrado,2,3/26/2026,3.00,12,100%,80%,50%,80%,,,
Surticerveza Pacheco SAS,Galapa,24/3/2026,13,Marzo,COLCM493,Checklist T2,Panorámico picado Retrovisor izquierdo partido No tiene llanta de repuesto Embrague molesta hiene sonido Envío si a la preoperacional para agilizar la salida porque si envío no sale flota no acto para salir Autorizado por los jefes de punto corona la salida Las fallas de la flota la envío en retorno,LLANTAS,Cerrado,3,3/27/2026,3.00,27,100%,80%,50%,90%,,,
Surticerveza Pacheco SAS,Galapa,24/3/2026,13,Marzo,COPSX403,Checklist T2,Peldaños traseros dañados y cauchos afuera del riel y carpa rota,CARPAS/ESTERAS,Cerrado,2,3/25/2026,1.00,14,100%,80%,50%,93%,,,
Surticerveza Pacheco SAS,Galapa,24/3/2026,13,Marzo,COLCM096,Checklist T2,No tiene llanta de repuesto Luna delantera partida,LLANTAS,Cerrado,3,3/26/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COVEL558,Checklist T2,"La carpa esta desprendida párese una falda lado derecho, direccionales derecho delantera partida, no tiene cono, no tiene carretilla, escalera delantera lado izquierdo doblada",CARPAS/ESTERAS,Cerrado,2,3/25/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COVEL186,Checklist T2,Carpa en mal estado.fuga de aire,CARPAS/ESTERAS,Cerrado,2,3/26/2026,2.00,13,100%,80%,50%,87%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COVEL588,Checklist T2,"Carro sin la perilla para subir el vidrio del lado del conductor, REPARAR POR SEGURIDAD.. DEFENSAS delantera y trasera golpeadas y rotas REPARAR",GOLPES Y RAYONES,Cerrado,3,3/26/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COKSP229,Checklist T2,Llanta de repuesto no tiene estop traseros mal estado plumillas mal estado,LLANTAS,Cerrado,3,3/26/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COVEN060,Checklist T2,"Silla del auxiliar mal ubicada,carpa y retrovisores en mal Estado",CARPAS/ESTERAS,Cerrado,2,3/25/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,3/2/2026,6,Febrero,COKSP232,Checklist T2,Ojo tiene frenos largo,FRENOS,Cerrado,1,2/6/2026,3.00,-2,0%,80%,50%,0%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COJTZ360,Checklist T2,sale sin llanta de repuesto llanta delantera del lado derecho y tracera en mal estado,LLANTAS,Cerrado,3,3/25/2026,1.00,29,100%,80%,50%,97%,,,
Surticerveza Pacheco SAS,Galapa,24/3/2026,13,Marzo,COXMC054,Checklist T2,Silla conductor dañada Sin guarda estribos Luz tracera izquierda dañada,SILLAS,Cerrado,3,3/26/2026,2.00,28,100%,80%,50%,93%,,,
Surticerveza Pacheco SAS,Galapa,24/3/2026,13,Marzo,COPSX384,Checklist T2,Carpa rota,CARPAS/ESTERAS,Cerrado,2,3/25/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,23/1/2026,4,Enero,COVEK258,Checklist T2,Ojo tiene un ruido en la bomba hidráulica,OTRA,Cerrado,0,1/25/2026,,,,80%,,,,,
Surticervezas Pacheco SAS,Galapa,21/2/2026,8,Febrero,COPSX840,Checklist T2,Panomarico averiado Escaleras dobladas,ESPEJOS Y VIDRIOS,Cerrado,1,2/23/2026,2.00,-1,0%,80%,50%,0%,,,
